id,title,originalTitle,category,videoLink,filePath
pvctt,Phỏng Vấn Tinh Gia 2004,Phỏng Vấn Tinh Gia 2004,chautinhtri,https://helvid.com/play/index/00e1c83f3b75,phimle-master\chautinhtri\pvctt.html
cscb1,Cuộc Sống Công Bằng,Cuộc Sống Công Bằng,chautinhtri,https://helvid.com/play/index/c7a2a4807604,phimle-master\chautinhtri\cscb1.html
hauvuong,Hầu Vương – The Monkey King,Hầu Vương,chautinhtri,https://helvid.com/play/index/4130f3c457a1,phimle-master\chautinhtri\hauvuong.html
taydukiMoitinhngoaitruyen2,Tây Du - Phục Ma Thiên,Tây Du - Phục Ma Thiên,chautinhtri,https://helvid.com/play/index/2ea134250009,phimle-master\chautinhtri\taydukiMoitinhngoaitruyen2.html
mynhanngu,Mỹ Nhân Ngư,Mỹ Nhân Ngư,chautinhtri,https://helvid.com/play/index/16b2397d592c,phimle-master\chautinhtri\mynhanngu.html
tanvuahaikich,Tân Vua Hài Kịch,Tân Vua Hài Kịch,chautinhtri,https://helvid.com/play/index/1bc276aed009,phimle-master\chautinhtri\tanvuahaikich.html
taydukiMoitinhngoaitruyen1,Tây Du - Hàng Ma Thiên,Tây Du - Hàng Ma Thiên,chautinhtri,https://helvid.com/play/index/f1b975b5c894,phimle-master\chautinhtri\taydukiMoitinhngoaitruyen1.html
cj7,Siêu Khuyển Thần Thông,Siêu Khuyển Thần Thông,chautinhtri,https://helvid.com/play/index/3637e3614ca7,phimle-master\chautinhtri\cj7.html
tuyetdinhkungfu,Tuyệt Đỉnh Kungfu,Tuyệt Đỉnh Kungfu,chautinhtri,https://helvid.com/play/index/c752d58ab1d2,phimle-master\chautinhtri\tuyetdinhkungfu.html
doibongthieulam,Đội Bóng Thiếu Lâm,Đội Bóng Thiếu Lâm,chautinhtri,https://helvid.com/play/index/ae7adb0b0c94,phimle-master\chautinhtri\doibongthieulam.html
bipvuong2000,Bịp Vương 2000,Bịp Vương 2000,chautinhtri,https://helvid.com/play/index/328c5464e299,phimle-master\chautinhtri\bipvuong2000.html
vuahaikich,Vua Hài Kịch,Vua Hài Kịch,chautinhtri,https://helvid.com/play/index/64ab4ab1cd89,phimle-master\chautinhtri\vuahaikich.html
