id,title,originalTitle,category,videoLink,filePath
gioithieu,Phim Thành Long,Phim Thành Long,daohaitac,,phimle-master\daohaitac\gioithieu.html
tap1,Tập 1 - Bắt Đầu Chuyến Hải Hành,Tập 1 - Bắt Đầu Chuyến Hải Hành,daohaitac,https://helvid.com/play/index/99f077470019,phimle-master\daohaitac\tap1.html
tap2,Tập 2 - Người Đội Mũ Rơm,Tập 2 - Người Đội Mũ Rơm,daohaitac,https://helvid.com/play/index/27e61523abaa,phimle-master\daohaitac\tap2.html
tap3,Tập 3 - Không Hé Răng,Tập 3 - Không Hé Răng,daohaitac,https://helvid.com/play/index/838fa8ce4bb3,phimle-master\daohaitac\tap3.html
tap4,Tập 4 - Hải Tặc Đang Đến,Tập 4-Hải Tặc Đang Đến,daohaitac,https://helvid.com/play/index/bab0908fe8b4,phimle-master\daohaitac\tap4.html
tap5,Tập 5 - Ăn Tại Baratie,Tập 5 - Ăn Tại Baratie,daohaitac,https://helvid.com/play/index/23e3bb6ff78c,phimle-master\daohaitac\tap5.html
tap6,Tập 6 - Bếp Trưởng Và Nhóc Giúp Việc,Tập 6 - Bếp Trưởng Và Nhóc Giúp Việc,daohaitac,https://helvid.com/play/index/829934deaf3b,phimle-master\daohaitac\tap6.html
tap7,Tập 7 - Cô Gái Có Hình Xăm,Tập 7 - Cô Gái Có Hình Xăm,daohaitac,https://helvid.com/play/index/c80f8b6b1f5f,phimle-master\daohaitac\tap7.html
tap8,Tập 8 - Điều Tồi Tệ Nhất Phía Đông,Tập 8 - Điều Tồi Tệ Nhất Phía Đông,daohaitac,https://helvid.com/play/index/dc500c496bf8,phimle-master\daohaitac\tap8.html
